medical_abstract,triage_level,urgent_score,nonurgent_score,confidence,binary_prediction,n_tokens,was_truncated,original_condition_labels,original_condition_names,original_splits,pseudolabel_model,pseudolabel_threshold,max_length
"Advances in data assessment. Application to the etiology of nausea reported during chemotherapy, concerns about significance testing, and opportunities in clinical trials. Typical inferential statistical procedures, such as the t-test and analysis of variance, compare differences in mean values of variables. This approach can sometimes obscure rather than illuminate research data. Here we present and discuss alternative data analytic techniques. Potential advantages of box plots over conventional t-tests for understanding data are shown by comparing the area under high and low frequencies from spectral curves of autonomic changes following chemotherapy treatment. Typical t-tests provide information regarding statistical significance in terms of the differences in group means; box plots and related exploratory techniques provide information regarding the characteristics of the distributions within the groups as well as examination of potential outliers. Multivariate analysis of variance (MANOVA) and other multivariate techniques are commonly used to deal with potentially complex data sets with multiple outcome measures. The potential advantages of visual clustering techniques such as star plots, Chernoff faces, and Andrew's Function Plots are demonstrated by examining changes in facial pallor caused by chemotherapy-induced nausea and vomiting. Typical MANOVA approaches can identify potential differences in mean values between groups; visual clustering approaches do this by graphically presenting complex interrelationships for individual cases. This approach enhances the visual interpretation of potential interactions that would be obscured by simply focusing on overall mean values. Preliminary data from a meta-analysis on the effect of metoclopramide on chemotherapy-induced vomiting demonstrates the potential uses and advantages of this summary technique over simple tabular summaries. We found significant relationships between the effect size of the drug and variables such as the year of study publication and whether the publication was an article or an abstract. While none of these techniques are meant to replace traditional inferential statistics, they offer advantages in terms of data exploration and understanding relationships within data sets that are not clearly addressed by other methods. They are potentially valuable alternatives worthy of exploration. Finally, we discuss issues of interim analyses and multiple endpoint assessment for clinical trials.",normal,0.0731870085000991,0.9268130660057068,0.9268130660057068,non-urgent,445,True,1|5,neoplasms|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Abnormalities of von Willebrand factor multimers in thrombotic thrombocytopenic purpura and the hemolytic-uremic syndrome. PURPOSE: To analyze and review von Willebrand factor (vWF) multimeric patterns in patients with single-episode thrombotic thrombocytopenic purpura (TTP), intermittent TTP (episodes at infrequent, irregular intervals), chronic relapsing TTP (episodes at frequent, regular intervals), and the hemolytic-uremic syndrome (HUS). PATIENTS AND METHODS: Platelet-poor plasma samples were obtained in EDTA, citrate, or citrate-hirudin-aprotinin-leupeptin from 36 patients with single-episode TTP, eight patients with intermittent TTP, four patients with chronic relapsing TTP, and 26 patients with HUS. The samples were separated by sodium dodecyl sulfate-agarose gel electrophoresis, overlaid with rabbit 125I-anti-human vWF IgG, and analyzed by autoradiography. RESULTS: Abnormalities of vWF multimers were found in platelet-poor plasma samples from 31 of 36 found in platelet-poor plasma samples from 31 of 36 patients (86%) at the onset of and during their single TTP episode. vWF multimers larger than those in normal plasma, and similar to vWF forms observed within normal human endothelial cells (unusually large vWF multimers), were demonstrated in 31% of the patients; 19% had either unusually large vWF multimers or a relative decrease in the largest plasma vWF forms in different serial samples; 36% had a relative decrease in the largest plasma vWF forms. These results imply that endothelial cell injury or intense stimulation, along with the attachment of unusually large vWF multimers and the largest plasma vWF forms to platelets, occurred during the single TTP episodes in most patients. Patterns of vWF multimers were normal in 92% of patients with single-episode TTP studied after recovery. All eight patients with intermittent TTP and the four patients with chronic relapsing TTP had unusually large vWF multimers in their plasma between episodes, and these multimers decreased or disappeared during relapses. Of 26 children and adults with HUS, 14 had a relative decrease in the largest plasma vWF multimeric forms and one had unusually large vWF multimers during the episode (vWF multimeric abnormalities in 58% of the patients). CONCLUSION: It is probable that vWF was involved in the pathophysiology of TTP in most of these patients with the single-episode, intermittent, or chronic relapsing types of TTP, and in more than 50% of the patients with HUS.",atenção,0.5389404296875,0.4610596001148224,0.5389404296875,urgent,646,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A meta-analysis of the effect of estrogen replacement therapy on the risk of breast cancer [published erratum appears in JAMA 1991 Sep 11;266(10):1362] To quantify the effect of estrogen replacement therapy on breast cancer risk, we combined dose-response slopes of the relative risk of breast cancer against the duration of estrogen use across 16 studies. Using this summary dose-response slope, we calculated the proportional increase in risk of breast cancer for each year of estrogen use. For women who experienced any type of menopause, risk did not appear to increase until after at least 5 years of estrogen use. After 15 years of estrogen use, we found a 30% increase in the risk of breast cancer (relative risk, 1.3; 95% confidence interval [CI], 1.2 to 1.6). The increase in risk was largely due to results of studies that included premenopausal women or women using estradiol (with or without progestin), studies for which the estimated relative risk was 2.2 (CI, 1.4 to 3.4) after 15 years. Among women with a family history of breast cancer, those who had ever used estrogen replacement had a significantly higher risk (3.4; CI, 2.0 to 6.0) than those who had not (1.5; CI, 1.2 to 1.7).",normal,0.0764384865760803,0.9235615730285645,0.9235615730285645,non-urgent,306,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Activation of coagulation in acute cardioembolic stroke. The hematologic disorders in patients with acute cardioembolic stroke are not fully understood, and no reliable measures are available to identify patients at high risk for recurrent embolism. We analyzed coagulation and fibrinolytic functions in 22 patients with cardiogenic cerebral embolism less than or equal to 24 hours after onset and in 25 age-matched controls. The levels of antithrombin III, protein C, and alpha 2-plasmin inhibitor were significantly lower in the patients than in the controls (p less than 0.001, 0.02, and 0.05, respectively). In contrast, the plasma concentrations of thrombin-antithrombin III complex and crosslinked D-dimer were markedly higher in the patients than in the controls (p less than 0.01 and 0.001, respectively). At the time of admission, the plasma concentrations of thrombin-antithrombin III complex and crosslinked D-dimer in the eight patients at high risk for recurrent embolization (one with prodromal embolism, three with intracardiac thrombi, and four with recurrent embolization) were 2.8 and 3.5 times, respectively, higher than those in the 14 patients without recurrence or thrombus formation. The lowest concentration of crosslinked D-dimer in the eight patients at high risk for recurrent embolization was 600 ng/ml on admission. Our results suggest that patients with acute cardioembolic stroke have various degrees of consumption coagulopathy and that the plasma concentrations of thrombin-antithrombin III complex and crosslinked D-dimer can be useful indicators of those who are prone to recurrent embolization during this stage.",urgente,0.7959038019180298,0.2040961533784866,0.7959038019180298,urgent,395,True,3|4|5,nervous system diseases|cardiovascular diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A phase I clinical trial of 2-chlorodeoxyadenosine in pediatric patients with acute leukemia. To evaluate its toxicity and clinical efficacy in children with relapsed or refractory leukemia, we performed a phase I trial of 2-chloro-2'-deoxy-adenosine (2-chlorodeoxyadenosine; 2-CDA) given as a continuous 5-day infusion at doses of 3 to 10.7 mg/m2/d. In this study of 31 children with acute leukemia, the only dose-limiting toxicity was myelosuppression. At the highest dose level, three of seven patients developed fatal systemic bacterial or fungal infections. At dose levels above 6.2 mg/m2/d, significant oncolytic responses occurred in all patients. In addition, there was a significant correlation between both the responsiveness by cell type and dose of 2-CDA, such that more oncolytic responses were noted in acute myeloid leukemia (AML) patients than acute lymphoblastic leukemia (ALL) patients (P = .02). Although this was a phase I trial in heavily pretreated patients with refractory disease, two AML patients treated at 5.2 and 10.7 mg/m2/d, respectively, had complete hematologic responses, and one patient treated at 10.7 mg/m2/d had a partial response. In addition, there was a dose-response relationship in all patients with improved cytoreduction of peripheral blast cells at higher doses of 2-CDA. In vitro evaluation of 2-CDA uptake and anabolism by leukemic blast cells from 22 patients demonstrated that 2-chloro-2'-deoxyadenosine (Cld-AMP) and 2-chloro-2'-deoxyadenosine 5'-striphosphate (CldATP) reached concentrations close to steady-state levels within 1 hour. Intracellular nucleotide disappearance rates were high with half-lives of 1.29 and 2.47 hours for CldAMP and CldATP, respectively. This suggests that continuous infusion is necessary to maintain the desired plasma concentration. The results of this study confirm the antileukemic activity of 2-CDA and the lack of prohibitive nonhematologic toxicity. Phase II trials in patients with AML and ALL are warranted.",atenção,0.6250221729278564,0.3749778568744659,0.6250221729278564,urgent,543,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A surgical approach to the cervicothoracic spine. We describe a method for approaching the lower cervical and upper thoracic spine, the brachial plexus and related vessels. The method involves the elevation of the medial corner of the manubrium, the sternoclavicular joint, and the medial half of the clavicle on a pedicle of the sternomastoid muscle. We have used this exposure in 17 cases with few complications and good results. Its successful performance requires high standards of anaesthesia, surgical technique and postoperative care.",atenção,0.448806494474411,0.5511935353279114,0.5511935353279114,non-urgent,126,False,1|3|5,neoplasms|nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Advantages of beta blockers versus antiarrhythmic agents and calcium antagonists in secondary prevention after myocardial infarction. Patients who have sustained greater than or equal to 1 myocardial infarcts are at high risk for sudden death or reinfarction; the risk is highest for those with lowest ventricular ejection fraction, continuing myocardial ischemia and asymptomatic high-density and complex premature ventricular contractions. At present, beta blockers when given prophylactically are the only agents that reduce the incidence of sudden death and reinfarction in survivors of myocardial infarction (MI) in the first 2 years. The beneficial effect was shown to correlate with a reduction in heart rate, the effect being absent or deleterious with beta blockers with marked sympathomimetic activity. The effects of beta blockers on ventricular fibrillation appeared to be dissociated from those on premature ventricular contractions. Trials with calcium antagonists indicate that these drugs had no effect or increased the mortality rate. The divergent effect of beta blockers and calcium antagonists is unexplained but may be due in part to a lack of bradycardiac effect of calcium antagonists; there were no differences in effect among different calcium antagonists. Data from trials involving class I antiarrhythmic agents indicate that agents acting by depression of cardiac conduction are either devoid of effect or produce a modest increase in mortality. Results of the Cardiac Arrhythmia Suppression Trial, employing the newer class I agents flecainide and encainide, were used to determine whether the suppression of premature ventricular contractions in the survivors of acute MI reduces mortality. Flecainide and encainide suppressed premature ventricular contractions greater than 80%, but resulted in an increased mortality rate undoubtedly due to a marked proarrhythmic effect. Whether these data can be extrapolated to all class I agents is uncertain. Preliminary data with class III antiarrhythmic agents suggest that these agents, especially amiodarone, similarly to beta blockers, have the potential to reduce mortality in survivors of MI. Evolving data suggest that in the secondary prevention of morbid events in the survivors of acute MI, the focus must shift away from antiarrhythmic agents that delay conduction and toward beta blockers and antifibrillatory actions resulting from a prolongation of refractoriness.",normal,0.2740804255008697,0.7259196043014526,0.7259196043014526,non-urgent,538,True,4|5,cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A prospective analysis of intramuscular meperidine, promethazine, and chlorpromazine in pediatric emergency department patients. STUDY OBJECTIVE: To examine physiologic responses and efficacy of 2, 1, and 1 mg/kg IM meperidine, promethazine, and chlorpromazine (MPC), respectively, in children. DESIGN: Prospective, unblinded trial. SETTING: A university and community emergency department. PATIENTS: Sixty-three hemodynamically and neurologically stable children. INTERVENTION: Single dose of IM MPC. MEASUREMENTS AND MAIN RESULTS: Serial respirations, heart rate, arterial systolic blood pressure, oxygen saturation, and Glasgow Coma Scale were measured at 30-minute intervals. Effectiveness was assessed by two independent observers using separate visual analog scales for cooperation and sedation. Times to sleep (27 +/- 24 minutes), sitting upright (103 +/- 87 minutes), ED discharge (4.7 +/- 2.4 hours), eating (11 +/- 7.9 hours), and normal behavior (19 +/- 15 hours) were acceptable. Minor, but statistically significant, changes in respiration rate (-1.9 +/- 0.4), heart rate (+4.5 +/- 1.8), oxygen saturation (-0.7 +/- 0.3%), and Glasgow Coma Scale (-2.5 +/- 0.6) occurred for 120 minutes after MPC. No serious complications or resuscitation were required. Mean visual analog scale scores were 5.0/10.4 or more in 71% of cases, with interobserver agreement very good (cooperation, r = .79; effectiveness, r = .80). Twenty-nine percent of children were judged insufficiently sedated. CONCLUSION: IM MPC is a safe and generally effective agent for ED procedures in selected children.",urgente,0.8568057417869568,0.1431942582130432,0.8568057417869568,urgent,462,True,5,general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute rheumatic fever in West Virginia. Not just a disease of children. Rheumatic fever is a poststreptococcal disease that is receiving renewed attention by the medical community. We describe a recent increase in the number of observed cases of acute rheumatic fever (ARF) in West Virginia. This is the fifth report of a recent increase in the incidence of ARF in the Ohio Valley area in the last 4 years. In contrast to the other reports, nearly two thirds of our cases of ARF were in adults, more than half of whom had suffered previous bouts of ARF. In these adults with recurrences, none was taking prophylactic penicillin at the time of presentation. Carditis was present in seven adults, two without a history of carditis. Arthritis was present in all adult patients. These data indicate a possible geographic phenomenon related to the increased number of observed cases of ARF and document that ARF is not simply a disease of childhood. Furthermore, our findings highlight the need for extended penicillin prophylaxis for secondary prevention of ARF, especially for those with an increased risk of acquiring a streptococcal upper respiratory tract infection.",atenção,0.5099215507507324,0.4900784790515899,0.5099215507507324,urgent,251,False,3|4|5,nervous system diseases|cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Age-related changes in membrane fluidity of erythrocytes in essential hypertension. In the present study, age- and calcium-related changes in the membrane fluidity of erythrocytes were examined in patients with essential hypertension by use of electron spin resonance method (ESR). The erythrocytes were obtained from patients with essential hypertension. We examined the ESR spectra for a fatty acid spin label agent (5-nitroxy stearate) incorporated into the erythrocyte membranes. The values of outer hyperfine splitting and order parameter (S) were significantly higher in subjects with essential hypertension than in the normotensive subjects. This finding indicates that the membrane fluidity of erythrocytes was lower in essential hypertension. Calcium-loading of erythrocytes with the Ca-ionophore A23187 decreased the membrane fluidity (S value was increased) more strongly in essential hypertension than in the normotensive subjects. Furthermore, this Ca-induced change in membrane fluidity was significantly correlated with age in essential hypertension. These results demonstrate that the membrane fluidity of erythrocytes is markedly decreased by calcium, especially in essential hypertension in older patients. This suggests an increased calcium-sensitivity of cell membranes in the aged hypertensive patient.",normal,0.1367932260036468,0.8632067441940308,0.8632067441940308,non-urgent,298,True,4,cardiovascular diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A new phantom for mammography. A new mammography phantom from Du Pont is described. It has a wider range of types of detail than in previous phantoms, including some which closely simulate breast tissues. Experience of its use, and comparisons with an earlier (""Barts"") phantom, are reported. The Du Pont phantom appears to have greater sensitivity to changes in tube kV and focal spot size, and better discrimination between different film-screen combinations and between films from different breast screening centres.",normal,0.141913428902626,0.8580865859985352,0.8580865859985352,non-urgent,116,False,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A study of HTLV-I and its associated risk factors in Trinidad and Tobago. Seroprevalence of human T-lymphotropic virus type 1 (HTLV-I) among a sample of persons selected from a government register of businesses in Trinidad was 3.2% in 1,025 persons of African descent compared to 0.2% among 487 persons of Asian descent and 0% among 46 persons of European-descent. In Tobago, from a coastal village, among persons of African ancestry ascertained as part of a cardiovascular survey, the rate was 11.4%, which was significantly higher when corrected for age and race than the rate in Trinidad. The seroprevalence rate of antibodies to hepatitis A and B was also significantly elevated in Tobago compared to Trinidad. HTLV-I seroprevalence rates were higher in females than males while hepatitis A and B rates were not significantly different in the two sexes. For males, age was a significant determinant of HTLV-I seropositivity, while for females, age, markers of poor sanitation, and hepatitis B were each independently linked to HTLV-I seropositivity. The frequent occurrence of multiple infectious exposures in persons of lower socioeconomic circumstances in this tropical environment may result in immune activation that heightens susceptibility to HTLV-I infection.",normal,0.1056236997246742,0.8943763375282288,0.8943763375282288,non-urgent,296,True,2,digestive system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Admissions to the intensive care unit after complications of anaesthetic techniques over 10 years. 2. The second 5 years Compared with the first 5 years there was a 19% increase in general anaesthetics, a 171% increase in local and (or) sedation techniques and a 9% increase in obstetric epidurals with no increase in anaesthetic staffing. In this second 5-year period, 46 patients were admitted to the Intensive Care Unit as a result of a complication of an anaesthetic technique. These patients represented 1 in 2371 anaesthetic techniques carried out in the District compared with the previous 5 years where the incidence was 1 in 1543. Seven patients died (15.2%). The complication was considered to be wholly or partially avoidable in 14 instances (30.4%). Four of these subjects died.",urgente,0.8079788684844971,0.1920211166143417,0.8079788684844971,urgent,189,False,4|5,cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Abnormal epidermal changes after argon laser treatment. A 26-year-old woman with a congenital port-wine stain on the forehead was treated three times at 2-month intervals with an argon laser. Six months after the last treatment, moderate blanching and mild scaling confined to the treated area was observed. A biopsy specimen of the treated area revealed a significant decrease in ectatic vessels. However, epidermal changes similar to those of actinic keratosis with disorganized cell layers and marked cytologic abnormalities were seen. Analysis of peripheral blood lymphocytes for a defect in DNA repair was negative. Multiple, argon laser-induced photothermal effects may be responsible for the changes observed in our case and may lead to premalignant epidermal transformation.",normal,0.1560738384723663,0.8439261317253113,0.8439261317253113,non-urgent,177,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case of cecocolic intussusception with complete invagination and intussusception of the appendix with villous adenoma. Villous adenoma of the appendix is a rare neoplasm and intussusception of the appendix is a rare pathologic condition. A very rare case seen in a 35-year-old male with pain in the right lateral abdomen is reported. In this patient, the appendix along with the villous adenoma intussuscepted and invaginated into the cecal lumen, and presented as cecocolic intussusception. A polypoid lesion was diagnosed in the cecum by fiberoptic colonoscopy. Unlike polypoid lesions at other sites in the large intestine, polypoid lesions of the cecum may accompany intussusception and invagination of the appendix. Consequently, caution is required in performing endoscopic polypectomy in cases of polypoid lesions of the cecum.",atenção,0.689562976360321,0.3104370236396789,0.689562976360321,urgent,238,False,1|2,neoplasms|digestive system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"An autosomal recessive gene that delays expression of lupus in BXSB mice. We report the generation and serologic, cellular, histologic, and genetic characteristics of a BXSB/MpJScr substrain, termed BXSB/MpJScr-ll/ll, that has lost early-life male lupus disease. Classic genetic analysis suggested that delayed disease expression results from the action of a single autosomal recessive gene. This putative gene, referred to as ll (long-lived), causes a significant delay in expression of autoimmune serology (total serum IgG and anti-nuclear antibodies levels), monocytosis, and of immune complex-mediated histopathologic changes such as glomerulonephritis, arteritis, and myocardial infarction. Presumably as a consequence of the delayed immunopathology male BXSB/MpJScr-ll/ll mice live three to four times longer than regular BXSB/MpJScr. This strain might be useful for analysis of single genes responsible for severe autoimmune disease expression.",normal,0.2014611214399337,0.7985389232635498,0.7985389232635498,non-urgent,263,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alpha 1-antitrypsin granules in the liver--always important? We have studied the clinical histories and liver biopsy findings in 1951 consecutive adult patients with suspected chronic liver disease, and in four known PiZ-homozygous alpha 1-antitrypsin-deficient patients with emphysema (candidates for lung transplant) and no known liver disease, in order to assess the importance of periportal alpha 1-antitrypsin granules in the liver and their possible causal role in liver disease, and to assess the value of possible screening tests. Periportal granules were found in 30 (1.5 per cent) of the 1951 liver biopsies and in all four known PiZ-homozygous subjects. They were the sole putative aetiological agent in eight of 85 patients (9.4 per cent) with otherwise cryptogenic cirrhosis and present in 2.5 per cent of patients with cirrhosis of known aetiology (alcohol, autoimmune etc.). All but one were Z phenotype (seven homozygotes, 22 heterozygotes). alpha 1-Antitrypsin granules were seen in 12 patients (including three of four lung transplant candidates) with no histological chronic liver disease. Determination of serum alpha 1-antitrypsin levels was quite unhelpful in identifying these patients. This study does not support the concept that periportal alpha 1-antitrypsin granules are necessarily pathogenic, but in some cases they may be causally related to otherwise cryptogenic liver disease. The presence of granules gave no important diagnostic, therapeutic or prognostic information.",normal,0.1452775597572326,0.8547224998474121,0.8547224998474121,non-urgent,375,True,2|5,digestive system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Activated protooncogenes in human lung tumors from smokers. Fourteen primary human lung tumor DNAs from smokers were analyzed for transforming activity by two DNA transfection assays. Activated protooncogenes were detected in 3 of 11 tumor DNAs by the NIH 3T3 focus assay, whereas activated protooncogenes were detected in 11 of 13 tumor DNAs by the NIH 3T3 cotransfection-nude mouse tumorigenicity assay. K- or NRAS genes activated by point mutation at codons 12 or 61 were detected in a large cell carcinoma, a squamous cell carcinoma, and 5 adenocarcinomas. An HRAS oncogene activated by a different mechanism was detected in an epidermoid carcinoma. One adenocarcinoma was found to contain an activated RAF gene. Two unidentified transforming genes were detected in a squamous cell carcinoma DNA and two adenocarcinoma DNAs. Eight of 10 lung adenocarcinomas that had formed metastases at the time of surgery were found to contain RAS oncogenes. No significant increase in metastasis was observed in the lung adenocarcinomas that contained one or more 6-kilobase EcoRI alleles of the LMYC gene. Overall, 12 of 14 (86%) of the lung tumor DNAs from smokers were found to contain activated protooncogenes. RAS oncogenes appear to play a role in the development of metastases in lung adenocarcinomas.",atenção,0.363015353679657,0.636984646320343,0.636984646320343,non-urgent,350,True,1|5,neoplasms|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case report of giant cell arteritis of the uterus and adnexa. Giant cell arteritis of the uterus and adnexa is a rare disorder, which is generally asymptomatic and occasionally associated with temporal arteritis. The true clinical significance of this dramatic microscopic finding remains obscure, but arteritis of the uterus and adnexa may be associated with later development of giant cell arteritis elsewhere in the body.",atenção,0.4140253961086273,0.5859745740890503,0.5859745740890503,non-urgent,100,False,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A videofluoroscopy chair for the evaluation of dysphagia in patients with severe neuromotor disease. Due to the difficulties encountered in positioning severely neurologically impaired individuals for videofluoroscopic studies, the Rehab Tech Video FluoroChair was developed. The purpose of the chair is to provide the severely disabled patient with safe, stable postural support in an upright position for videofluoroscopic studies, with anterior-posterior, lateral, and rotational views easily performed. The chair features a removable headrest, a full back support, armrests, lateral truncal supports, and a patented base which is clamped to the footboard of the radiology table and allows for 200 degrees rotation of the patient. Two case studies illustrate the practical use and versatility of the Rehab Tech Video FluoroChair.",atenção,0.3921498954296112,0.6078500747680664,0.6078500747680664,non-urgent,183,False,2|3,digestive system diseases|nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A phosphatase activity present in peripheral blood myeloid cells of chronic myelogenous leukemia patients but not normal individuals alters nuclear protein binding to transcriptional enhancers of interferon-inducible genes. Cytoplasmic protein from peripheral blood myeloid cells of chronic myelogenous leukemia (CML) patients altered the electrophoretic mobility of complexes formed between nuclear proteins and interferon-inducible transcriptional enhancers. Immature myeloid marrow cells (blasts and promyelocytes) have a higher level of this activity than do mature myeloid marrow cells (bands and polys). This activity, which is not detectable in the peripheral blood cells of normal individuals, is at least 50-fold higher in CML marrow blasts and promyelocytes than that found in marrow blasts and promyelocytes of normal individuals. This activity was inhibited by in vivo incubation of immature myeloid cells with the phosphatase inhibitor, sodium orthovanadate (0.2 mM), and by adding orthovanadate (20 mM) directly to cytoplasmic proteins of myeloid cells. Interferon-alpha (1,000 U/ml) reduced the effects of the CML myeloid cell cytoplasmic protein on the electrophoretic mobility of nuclear protein-DNA complexes. These data suggest that a unique phosphatase may be involved in the abnormalities in CML which are modulated by interferon-alpha.",normal,0.2501679956912994,0.7498319745063782,0.7498319745063782,non-urgent,347,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A computerized laboratory alerting system. A computerized laboratory alerting system (CLAS) has been developed as part of an ongoing effort to improve the quality of care at LDS Hospital. The system identifies potentially life-threatening conditions on the basis of laboratory findings and then generates appropriate warnings and transmits them to clinicians. Use of the system has led to a significant increase in the proportion of patients in life-threatening situations who have received appropriate care (50.8% before implementation vs. 62.5% afterward, P less than 0.05). Among patients with hypokalemia, falling potassium levels, hyperkalemia, hypokalemia during treatment with digoxin, hyponatremia, falling sodium levels, hypernatremia, hypoglycemia, or hyperglycemia, the average length of time spent in the life-threatening situation has decreased from 30.4 to 15.7 hours (P less than 0.05) and the average length of stay has decreased from 14.6 to 8.8 days (P less than 0.05). There has been little change in the proportion of patients with findings indicating metabolic acidosis who have received appropriate care (32.3 vs. 34.6%). We conclude that CLAS has an important role in patient care at our hospital.",urgente,0.8354043364524841,0.1645956933498382,0.8354043364524841,urgent,284,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute T-cell leukemia/lymphoma mimicking Hodgkin's disease with secondary HTLV I seroconversion. The authors observed a pleiomorphic lymphoma mimicking Hodgkin's lymphoma in a French Guyana black woman lacking antibodies for human T-cell lymphoma/leukemia virus type I (HTLV I). After two courses of chemotherapy with either mechlorethamine, vincristine, procarbazine, and prednisone (MOPP) or doxorubicin, bleomycin, vincaleukoblastine, and dacarbazine (ABVD), a typical acute T-cell leukemia/lymphoma developed with HTLV I seroconversion. Specific HTLV I DNA sequences were detected using the polymerase chain reaction (PCR) on a lymph node biopsy obtained before chemotherapy. The mechanisms of the seroconversion are discussed.",atenção,0.6784026622772217,0.3215973377227783,0.6784026622772217,urgent,220,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"1990 Ogura memorial lecture: moral dilemmas in head and neck cancer. Neither morality nor dilemma can be defined meaningfully in the concept of the practical management of head and neck cancer. Although both have important implications, particularly with regard to ethnic and social factors, they play a relatively minor role in determining management policy. With little knowledge of the intrinsic causes of cancer and with a treatment strategy limited to radiotherapy and surgery, our desire for cure must be tempered by concern to avoid any increase in patient privations. My philosophy, based upon the care of more than 3500 patients over almost 30 years, reflects some of the difficulties of applying the concept ""do nothing that may cause harm,"" while offering each patient the opportunity for long-term cure.",normal,0.0842608138918876,0.9157392382621764,0.9157392382621764,non-urgent,158,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A cost-minimization study of cancer patients requiring a narcotic infusion in hospital and at home. We conducted a retrospective, non-randomized, cost-minimization study, from the perspective of the Ministry of Health, to compare the cost of managing cancer patients who required narcotic infusions, in hospital and at home. Our medical costs averaged $369.72 per inpatient day and $150.24 per outpatient day (saving $219.48 per diem, 1988 Canadian dollars), while narcotic costs were the same for any given patient in both settings. Sensitivity analysis showed that no reasonable changes in the quantity and cost of services reduced our savings by more than 50%. During incremental analysis, savings increased as more outpatient days were managed by our centre, from $0.00 for 318 days, to more than $500,000 for over 2000 days per annum. As this program has been extremely cost effective and preferred by our patients, other hospitals and central funding agencies might consider establishing a regional outpatient narcotic infusion program to reduce their costs.",normal,0.280496209859848,0.7195037603378296,0.7195037603378296,non-urgent,235,False,1|5,neoplasms|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adrenal medullary implants in the rat spinal cord reduce nociception in a chronic pain model. Previous work in this laboratory has indicated that the transplantation of adrenal medullary tissue into the subarachnoid space of the rat spinal cord can reduce pain sensitivity to acute noxious stimuli, particularly following stimulation by nicotine. This most likely results from the stimulated release of opioid peptides and catecholamines from the transplanted chromaffin cells. However, chronic pain models may more closely resemble human clinical pain, and the arthritic rat model has been used for screening potential therapeutic strategies. The purpose of the present study was to assess the potential for adrenal medullary tissue implanted into the spinal subarachnoid space to alleviate chronic pain. Adrenal medullary tissue was implanted into adjuvant-induced arthritic rats, and changes in body weight and vocalization responses were monitored over the 10 week course of the disease. Results indicate that the severe weight reduction normally associated with this inflammatory arthritis was attenuated by adrenal medullary, but not control, implants. In addition, vocalizations were reduced in animals implanted with adrenal medullary, but not control tissue following nicotine stimulation. This reduction was blocked by the opiate antagonist, naloxone, and partially attenuated by the alpha-adrenergic antagonist, phentolamine. Together, these results suggest that the transplantation of adrenal medullary tissue into the subarachnoid space of the spinal cord may provide a local source of opioid peptides and catecholamines for the reduction of chronic pain.",normal,0.1557154506444931,0.8442845940589905,0.8442845940589905,non-urgent,371,True,3|5,nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
